Ocupacao, Tempo\n
0.100, 0.00025
0.200, 0.00073
0.300, 0.00073
0.400, 0.00073
0.500, 0.00073
0.600, 0.00073
0.700, 0.00073
0.800, 0.00073
0.900, 0.00073
1.000, 0.00073
0.900, 0.00082
1.000, 0.00083
0.900, 0.00087
1.000, 0.00089
0.900, 0.00090
1.000, 0.00092
0.900, 0.00093
1.000, 0.00095
0.900, 0.00096
1.000, 0.00097
0.900, 0.00098
1.000, 0.00100
0.900, 0.00101
1.000, 0.00103
0.900, 0.00104
1.000, 0.00106
0.900, 0.00107
1.000, 0.00110
0.900, 0.00110
1.000, 0.00112
0.900, 0.00113
1.000, 0.00115
0.900, 0.00116
1.000, 0.00118
0.900, 0.00119
1.000, 0.00121
0.900, 0.00123
1.000, 0.00125
0.900, 0.00126
1.000, 0.00128
0.900, 0.00129
1.000, 0.00131
0.900, 0.00133
1.000, 0.00135
0.900, 0.00136
1.000, 0.00138
0.900, 0.00139
1.000, 0.00141
0.900, 0.00142
1.000, 0.00144
0.900, 0.00145
1.000, 0.00147
0.900, 0.00149
1.000, 0.00151
0.900, 0.00152
1.000, 0.00154
0.900, 0.00155
1.000, 0.00157
0.900, 0.00159
1.000, 0.00161
0.900, 0.00161
1.000, 0.00163
0.900, 0.00165
1.000, 0.00167
0.900, 0.00168
1.000, 0.00170
0.900, 0.00170
1.000, 0.00173
0.900, 0.00174
0.800, 0.00176
0.900, 0.00179
1.000, 0.00179
0.900, 0.00180
1.000, 0.00181
0.900, 0.00183
0.800, 0.00186
0.900, 0.00186
1.000, 0.00186
0.900, 0.00189
1.000, 0.00191
0.900, 0.00192
1.000, 0.00195
0.900, 0.00196
1.000, 0.00198
0.900, 0.00199
1.000, 0.00201
0.900, 0.00202
1.000, 0.00204
0.900, 0.00205
1.000, 0.00207
0.900, 0.00209
1.000, 0.00211
0.900, 0.00212
1.000, 0.00215
0.900, 0.00215
1.000, 0.00217
0.900, 0.00218
1.000, 0.00220
0.900, 0.00221
1.000, 0.00224
0.900, 0.00226
1.000, 0.00228
0.900, 0.00229
1.000, 0.00231
0.900, 0.00232
1.000, 0.00233
0.900, 0.00234
1.000, 0.00237
0.900, 0.00239
1.000, 0.00241
