Ocupacao, Tempo\n
1.000, 0.00045
0.000, 0.00137
1.000, 0.00143
0.000, 0.00145
1.000, 0.00145
0.000, 0.00148
1.000, 0.00153
0.000, 0.00155
1.000, 0.00159
0.000, 0.00166
1.000, 0.00169
0.000, 0.00174
1.000, 0.00179
0.000, 0.00184
1.000, 0.00189
0.000, 0.00194
1.000, 0.00198
0.000, 0.00201
1.000, 0.00202
0.000, 0.00202
1.000, 0.00207
0.000, 0.00208
1.000, 0.00210
0.000, 0.00212
1.000, 0.00217
0.000, 0.00222
1.000, 0.00226
0.000, 0.00231
1.000, 0.00236
0.000, 0.00240
1.000, 0.00245
0.000, 0.00249
1.000, 0.00249
0.000, 0.00250
1.000, 0.00255
0.000, 0.00256
1.000, 0.00260
0.000, 0.00265
1.000, 0.00270
0.000, 0.00273
1.000, 0.00273
0.000, 0.00274
1.000, 0.00279
0.000, 0.00280
1.000, 0.00285
0.000, 0.00288
1.000, 0.00289
0.000, 0.00291
1.000, 0.00296
0.000, 0.00300
1.000, 0.00306
0.000, 0.00309
1.000, 0.00309
0.000, 0.00309
1.000, 0.00314
0.000, 0.00317
1.000, 0.00318
0.000, 0.00319
1.000, 0.00323
0.000, 0.00325
1.000, 0.00329
0.000, 0.00330
1.000, 0.00333
0.000, 0.00334
1.000, 0.00340
0.000, 0.00344
1.000, 0.00349
0.000, 0.00353
1.000, 0.00357
0.000, 0.00360
1.000, 0.00360
0.000, 0.00362
1.000, 0.00366
0.000, 0.00367
1.000, 0.00371
0.000, 0.00372
1.000, 0.00377
0.000, 0.00378
1.000, 0.00380
0.000, 0.00381
1.000, 0.00385
0.000, 0.00390
1.000, 0.00395
0.000, 0.00399
1.000, 0.00403
0.000, 0.00406
1.000, 0.00406
0.000, 0.00408
1.000, 0.00409
0.000, 0.00411
1.000, 0.00412
0.000, 0.00414
1.000, 0.00415
0.000, 0.00417
1.000, 0.00418
0.000, 0.00419
1.000, 0.00424
0.000, 0.00429
1.000, 0.00434
0.000, 0.00438
1.000, 0.00443
0.000, 0.00445
1.000, 0.00445
0.000, 0.00449
1.000, 0.00453
0.000, 0.00458
1.000, 0.00462
0.000, 0.00466
1.000, 0.00471
0.000, 0.00474
1.000, 0.00479
0.000, 0.00484
1.000, 0.00489
0.000, 0.00492
1.000, 0.00492
0.000, 0.00495
1.000, 0.00500
0.000, 0.00504
1.000, 0.00509
0.000, 0.00513
1.000, 0.00518
0.000, 0.00523
1.000, 0.00528
0.000, 0.00531
1.000, 0.00532
0.000, 0.00532
1.000, 0.00537
0.000, 0.00537
1.000, 0.00540
0.000, 0.00541
1.000, 0.00554
0.000, 0.00559
1.000, 0.00564
0.000, 0.00569
1.000, 0.00574
0.000, 0.00578
1.000, 0.00579
0.000, 0.00584
1.000, 0.00588
0.000, 0.00593
1.000, 0.00598
0.000, 0.00601
1.000, 0.00605
0.000, 0.00610
1.000, 0.00615
0.000, 0.00620
1.000, 0.00629
0.000, 0.00630
1.000, 0.00633
0.000, 0.00634
1.000, 0.00636
0.000, 0.00637
1.000, 0.00641
0.000, 0.00646
1.000, 0.00651
0.000, 0.00655
1.000, 0.00656
0.000, 0.00657
1.000, 0.00659
0.000, 0.00660
1.000, 0.00665
0.000, 0.00668
1.000, 0.00673
0.000, 0.00678
1.000, 0.00692
0.000, 0.00694
1.000, 0.00695
0.000, 0.00696
1.000, 0.00698
0.000, 0.00698
1.000, 0.00702
0.000, 0.00707
1.000, 0.00711
0.000, 0.00715
1.000, 0.00719
0.000, 0.00723
1.000, 0.00727
0.000, 0.00731
1.000, 0.00736
0.000, 0.00739
1.000, 0.00739
0.000, 0.00741
1.000, 0.00745
0.000, 0.00745
1.000, 0.00745
0.000, 0.00751
1.000, 0.00756
0.000, 0.00759
1.000, 0.00764
0.000, 0.00767
1.000, 0.00771
0.000, 0.00775
1.000, 0.00779
0.000, 0.00783
1.000, 0.00788
0.000, 0.00791
1.000, 0.00793
0.000, 0.00797
1.000, 0.00802
0.000, 0.00806
1.000, 0.00810
0.000, 0.00814
1.000, 0.00819
0.000, 0.00822
1.000, 0.00826
0.000, 0.00826
1.000, 0.00827
0.000, 0.00831
1.000, 0.00836
0.000, 0.00840
1.000, 0.00843
0.000, 0.00849
1.000, 0.00854
0.000, 0.00856
1.000, 0.00857
0.000, 0.00859
1.000, 0.00861
0.000, 0.00862
1.000, 0.00866
0.000, 0.00867
1.000, 0.00871
0.000, 0.00873
1.000, 0.00874
0.000, 0.00876
1.000, 0.00880
0.000, 0.00885
1.000, 0.00889
0.000, 0.00894
1.000, 0.00898
0.000, 0.00902
1.000, 0.00907
0.000, 0.00908
1.000, 0.00910
0.000, 0.00911
1.000, 0.00916
0.000, 0.00920
1.000, 0.00924
0.000, 0.00928
1.000, 0.00932
0.000, 0.00936
1.000, 0.00937
0.000, 0.00942
1.000, 0.00946
0.000, 0.00950
1.000, 0.00954
0.000, 0.00958
1.000, 0.00962
0.000, 0.00966
1.000, 0.00971
0.000, 0.00975
1.000, 0.00980
0.000, 0.00984
1.000, 0.00987
0.000, 0.00992
1.000, 0.00997
0.000, 0.01001
1.000, 0.01008
0.000, 0.01011
1.000, 0.01012
0.000, 0.01012
1.000, 0.01014
0.000, 0.01016
1.000, 0.01018
0.000, 0.01019
1.000, 0.01021
0.000, 0.01022
1.000, 0.01024
0.000, 0.01025
1.000, 0.01027
0.000, 0.01028
1.000, 0.01032
0.000, 0.01038
1.000, 0.01042
0.000, 0.01048
1.000, 0.01052
0.000, 0.01056
1.000, 0.01061
0.000, 0.01065
1.000, 0.01069
0.000, 0.01073
1.000, 0.01077
0.000, 0.01081
1.000, 0.01085
0.000, 0.01089
1.000, 0.01093
0.000, 0.01097
1.000, 0.01102
0.000, 0.01106
1.000, 0.01110
0.000, 0.01115
1.000, 0.01120
0.000, 0.01124
1.000, 0.01128
0.000, 0.01132
1.000, 0.01136
0.000, 0.01141
1.000, 0.01146
0.000, 0.01151
1.000, 0.01157
0.000, 0.01161
1.000, 0.01168
0.000, 0.01168
1.000, 0.01173
0.000, 0.01177
1.000, 0.01181
0.000, 0.01186
1.000, 0.01191
0.000, 0.01195
1.000, 0.01199
0.000, 0.01203
1.000, 0.01204
0.000, 0.01209
1.000, 0.01213
0.000, 0.01218
1.000, 0.01222
0.000, 0.01226
1.000, 0.01231
0.000, 0.01234
1.000, 0.01235
0.000, 0.01236
1.000, 0.01238
0.000, 0.01240
1.000, 0.01244
