Ocupacao, Tempo\n
0.100, 0.00021
0.200, 0.00037
0.300, 0.00037
0.400, 0.00037
0.500, 0.00037
0.600, 0.00037
0.700, 0.00037
0.800, 0.00038
0.900, 0.00038
1.000, 0.00038
0.900, 0.00039
1.000, 0.00041
0.900, 0.00044
1.000, 0.00046
0.900, 0.00047
1.000, 0.00050
0.900, 0.00051
1.000, 0.00052
0.900, 0.00054
1.000, 0.00056
0.900, 0.00057
1.000, 0.00059
0.900, 0.00061
1.000, 0.00063
0.900, 0.00064
1.000, 0.00067
0.900, 0.00067
1.000, 0.00069
0.900, 0.00070
1.000, 0.00072
0.900, 0.00073
1.000, 0.00075
0.900, 0.00076
0.800, 0.00078
0.900, 0.00078
1.000, 0.00078
0.900, 0.00081
1.000, 0.00083
0.900, 0.00084
1.000, 0.00086
0.900, 0.00088
1.000, 0.00090
0.900, 0.00091
1.000, 0.00093
0.900, 0.00094
1.000, 0.00096
0.900, 0.00097
1.000, 0.00099
0.900, 0.00100
1.000, 0.00102
0.900, 0.00103
1.000, 0.00106
0.900, 0.00107
1.000, 0.00109
0.900, 0.00111
1.000, 0.00113
0.900, 0.00114
0.800, 0.00116
0.900, 0.00116
1.000, 0.00116
0.900, 0.00119
1.000, 0.00122
0.900, 0.00123
1.000, 0.00125
0.900, 0.00126
1.000, 0.00128
0.900, 0.00130
1.000, 0.00132
0.900, 0.00133
1.000, 0.00135
0.900, 0.00136
0.800, 0.00138
0.900, 0.00138
1.000, 0.00139
0.900, 0.00141
1.000, 0.00143
0.900, 0.00145
1.000, 0.00147
0.900, 0.00148
1.000, 0.00150
0.900, 0.00151
1.000, 0.00153
0.900, 0.00154
1.000, 0.00156
0.900, 0.00157
1.000, 0.00159
0.900, 0.00160
1.000, 0.00162
0.900, 0.00164
1.000, 0.00166
0.900, 0.00167
1.000, 0.00169
0.900, 0.00170
1.000, 0.00172
0.900, 0.00174
1.000, 0.00176
0.900, 0.00177
1.000, 0.00179
0.900, 0.00179
1.000, 0.00182
0.900, 0.00184
1.000, 0.00186
0.900, 0.00187
1.000, 0.00189
0.900, 0.00190
1.000, 0.00192
