Ocupacao, Tempo\n
0.100, 0.00027
0.200, 0.00044
0.300, 0.00044
0.400, 0.00044
0.500, 0.00044
0.600, 0.00044
0.700, 0.00044
0.800, 0.00044
0.900, 0.00044
1.000, 0.00044
0.900, 0.00050
1.000, 0.00052
0.900, 0.00053
1.000, 0.00056
0.900, 0.00057
1.000, 0.00060
0.900, 0.00063
0.800, 0.00065
0.700, 0.00066
0.800, 0.00066
0.900, 0.00066
1.000, 0.00066
0.900, 0.00069
1.000, 0.00072
0.900, 0.00074
1.000, 0.00076
0.900, 0.00079
1.000, 0.00081
0.900, 0.00083
1.000, 0.00086
0.900, 0.00088
1.000, 0.00091
0.900, 0.00093
1.000, 0.00096
0.900, 0.00098
1.000, 0.00101
0.900, 0.00103
0.800, 0.00105
0.900, 0.00105
1.000, 0.00105
0.900, 0.00106
1.000, 0.00109
0.900, 0.00109
1.000, 0.00112
0.900, 0.00113
1.000, 0.00115
0.900, 0.00118
1.000, 0.00120
0.900, 0.00123
1.000, 0.00126
0.900, 0.00128
1.000, 0.00131
0.900, 0.00132
1.000, 0.00135
0.900, 0.00140
1.000, 0.00143
0.900, 0.00145
1.000, 0.00147
0.900, 0.00151
1.000, 0.00154
0.900, 0.00155
1.000, 0.00157
0.900, 0.00160
1.000, 0.00166
0.900, 0.00169
1.000, 0.00172
0.900, 0.00174
1.000, 0.00176
0.900, 0.00179
1.000, 0.00182
0.900, 0.00185
0.800, 0.00187
0.700, 0.00187
0.800, 0.00188
0.900, 0.00188
1.000, 0.00188
0.900, 0.00188
0.800, 0.00188
0.900, 0.00190
1.000, 0.00190
0.900, 0.00192
1.000, 0.00194
0.900, 0.00197
1.000, 0.00199
0.900, 0.00201
1.000, 0.00204
0.900, 0.00206
1.000, 0.00209
0.900, 0.00210
1.000, 0.00213
0.900, 0.00213
0.800, 0.00215
0.700, 0.00216
0.800, 0.00216
0.700, 0.00216
0.800, 0.00216
0.900, 0.00216
1.000, 0.00216
0.900, 0.00216
0.800, 0.00216
0.900, 0.00216
1.000, 0.00216
0.900, 0.00217
0.800, 0.00219
0.700, 0.00219
0.800, 0.00219
0.900, 0.00219
1.000, 0.00219
0.900, 0.00219
1.000, 0.00219
0.900, 0.00220
1.000, 0.00222
0.900, 0.00223
0.800, 0.00224
0.700, 0.00224
0.800, 0.00225
0.900, 0.00225
1.000, 0.00225
0.900, 0.00225
1.000, 0.00225
0.900, 0.00229
1.000, 0.00231
0.900, 0.00232
1.000, 0.00235
0.900, 0.00237
1.000, 0.00239
0.900, 0.00241
1.000, 0.00244
0.900, 0.00246
1.000, 0.00248
0.900, 0.00251
1.000, 0.00253
0.900, 0.00256
1.000, 0.00258
0.900, 0.00260
1.000, 0.00263
0.900, 0.00265
1.000, 0.00268
0.900, 0.00270
1.000, 0.00272
0.900, 0.00274
1.000, 0.00277
0.900, 0.00279
1.000, 0.00281
0.900, 0.00283
1.000, 0.00286
0.900, 0.00287
1.000, 0.00290
0.900, 0.00291
1.000, 0.00296
0.900, 0.00297
1.000, 0.00299
0.900, 0.00301
1.000, 0.00304
0.900, 0.00306
1.000, 0.00309
0.900, 0.00310
1.000, 0.00313
0.900, 0.00315
1.000, 0.00317
0.900, 0.00319
1.000, 0.00321
0.900, 0.00323
1.000, 0.00325
0.900, 0.00328
1.000, 0.00331
0.900, 0.00334
1.000, 0.00336
0.900, 0.00340
1.000, 0.00343
0.900, 0.00345
1.000, 0.00347
0.900, 0.00350
1.000, 0.00352
0.900, 0.00355
1.000, 0.00358
0.900, 0.00360
1.000, 0.00363
0.900, 0.00364
1.000, 0.00366
0.900, 0.00369
1.000, 0.00371
0.900, 0.00373
1.000, 0.00376
0.900, 0.00378
1.000, 0.00380
0.900, 0.00382
1.000, 0.00385
0.900, 0.00387
1.000, 0.00390
0.900, 0.00392
1.000, 0.00395
0.900, 0.00396
1.000, 0.00399
0.900, 0.00402
1.000, 0.00404
0.900, 0.00407
1.000, 0.00410
0.900, 0.00412
1.000, 0.00415
0.900, 0.00417
1.000, 0.00420
0.900, 0.00422
1.000, 0.00426
0.900, 0.00427
1.000, 0.00429
0.900, 0.00432
1.000, 0.00435
0.900, 0.00437
1.000, 0.00440
0.900, 0.00440
0.800, 0.00442
0.700, 0.00442
0.800, 0.00442
0.900, 0.00442
1.000, 0.00442
0.900, 0.00443
0.800, 0.00445
0.700, 0.00446
0.800, 0.00446
0.900, 0.00446
1.000, 0.00446
0.900, 0.00449
1.000, 0.00451
0.900, 0.00453
1.000, 0.00456
0.900, 0.00458
1.000, 0.00460
0.900, 0.00462
1.000, 0.00465
0.900, 0.00467
1.000, 0.00470
0.900, 0.00473
1.000, 0.00475
0.900, 0.00477
1.000, 0.00480
0.900, 0.00483
1.000, 0.00486
0.900, 0.00488
1.000, 0.00491
0.900, 0.00493
1.000, 0.00496
0.900, 0.00499
1.000, 0.00501
0.900, 0.00502
0.800, 0.00504
0.700, 0.00504
0.600, 0.00504
0.500, 0.00504
0.600, 0.00504
0.700, 0.00504
0.800, 0.00504
0.900, 0.00504
1.000, 0.00504
0.900, 0.00506
0.800, 0.00506
0.700, 0.00507
0.600, 0.00507
0.700, 0.00509
0.800, 0.00509
0.900, 0.00509
1.000, 0.00509
0.900, 0.00509
1.000, 0.00509
0.900, 0.00511
0.800, 0.00512
0.900, 0.00514
1.000, 0.00514
0.900, 0.00516
1.000, 0.00519
0.900, 0.00521
1.000, 0.00524
0.900, 0.00527
1.000, 0.00530
0.900, 0.00531
1.000, 0.00535
0.900, 0.00537
1.000, 0.00539
0.900, 0.00541
1.000, 0.00544
0.900, 0.00546
1.000, 0.00549
0.900, 0.00551
1.000, 0.00554
0.900, 0.00554
0.800, 0.00556
0.900, 0.00557
1.000, 0.00557
0.900, 0.00557
0.800, 0.00559
0.900, 0.00559
1.000, 0.00559
0.900, 0.00560
0.800, 0.00562
0.900, 0.00563
1.000, 0.00563
0.900, 0.00563
1.000, 0.00565
0.900, 0.00566
0.800, 0.00567
0.700, 0.00567
0.800, 0.00568
0.900, 0.00568
1.000, 0.00568
0.900, 0.00569
0.800, 0.00570
0.900, 0.00571
1.000, 0.00571
0.900, 0.00573
1.000, 0.00576
0.900, 0.00579
1.000, 0.00581
0.900, 0.00583
1.000, 0.00586
0.900, 0.00588
1.000, 0.00591
0.900, 0.00592
1.000, 0.00595
0.900, 0.00597
1.000, 0.00599
0.900, 0.00600
0.800, 0.00600
0.700, 0.00601
0.800, 0.00602
0.900, 0.00602
1.000, 0.00602
0.900, 0.00606
1.000, 0.00609
0.900, 0.00611
1.000, 0.00613
0.900, 0.00617
1.000, 0.00619
0.900, 0.00621
1.000, 0.00624
0.900, 0.00626
1.000, 0.00629
0.900, 0.00631
1.000, 0.00634
0.900, 0.00636
1.000, 0.00639
0.900, 0.00641
1.000, 0.00644
0.900, 0.00645
1.000, 0.00648
0.900, 0.00649
1.000, 0.00652
0.900, 0.00654
1.000, 0.00657
0.900, 0.00659
1.000, 0.00662
0.900, 0.00664
1.000, 0.00666
0.900, 0.00669
1.000, 0.00671
0.900, 0.00673
1.000, 0.00676
0.900, 0.00677
1.000, 0.00680
0.900, 0.00681
1.000, 0.00684
0.900, 0.00685
1.000, 0.00688
0.900, 0.00691
1.000, 0.00693
0.900, 0.00695
1.000, 0.00698
0.900, 0.00698
1.000, 0.00700
0.900, 0.00701
0.800, 0.00702
0.900, 0.00703
1.000, 0.00703
0.900, 0.00706
1.000, 0.00709
0.900, 0.00711
1.000, 0.00714
0.900, 0.00714
0.800, 0.00715
0.900, 0.00717
1.000, 0.00717
0.900, 0.00717
1.000, 0.00717
0.900, 0.00720
1.000, 0.00722
0.900, 0.00724
1.000, 0.00727
0.900, 0.00727
1.000, 0.00730
0.900, 0.00730
0.800, 0.00733
0.900, 0.00736
1.000, 0.00736
0.900, 0.00737
0.800, 0.00738
0.900, 0.00740
1.000, 0.00740
0.900, 0.00743
1.000, 0.00745
0.900, 0.00747
1.000, 0.00750
0.900, 0.00752
1.000, 0.00754
0.900, 0.00757
1.000, 0.00759
0.900, 0.00762
1.000, 0.00764
0.900, 0.00767
1.000, 0.00769
0.900, 0.00771
1.000, 0.00774
0.900, 0.00775
1.000, 0.00778
0.900, 0.00780
1.000, 0.00783
0.900, 0.00785
1.000, 0.00788
0.900, 0.00790
1.000, 0.00792
0.900, 0.00792
0.800, 0.00795
0.900, 0.00795
1.000, 0.00795
0.900, 0.00798
1.000, 0.00800
0.900, 0.00803
1.000, 0.00805
0.900, 0.00807
1.000, 0.00810
0.900, 0.00813
0.800, 0.00817
0.700, 0.00817
0.600, 0.00817
0.500, 0.00817
0.600, 0.00818
0.700, 0.00818
0.800, 0.00818
0.900, 0.00818
1.000, 0.00818
0.900, 0.00818
1.000, 0.00819
0.900, 0.00822
1.000, 0.00825
0.900, 0.00828
1.000, 0.00830
0.900, 0.00833
1.000, 0.00835
0.900, 0.00838
1.000, 0.00841
0.900, 0.00843
1.000, 0.00845
0.900, 0.00847
1.000, 0.00850
0.900, 0.00853
1.000, 0.00856
0.900, 0.00858
1.000, 0.00860
0.900, 0.00863
1.000, 0.00865
0.900, 0.00868
1.000, 0.00870
0.900, 0.00873
1.000, 0.00875
0.900, 0.00875
1.000, 0.00878
0.900, 0.00878
1.000, 0.00880
0.900, 0.00881
0.800, 0.00883
0.700, 0.00883
0.800, 0.00883
0.900, 0.00883
1.000, 0.00883
0.900, 0.00884
0.800, 0.00886
0.700, 0.00886
0.600, 0.00886
0.500, 0.00886
0.400, 0.00886
0.500, 0.00887
0.400, 0.00887
0.300, 0.00887
0.400, 0.00887
0.500, 0.00887
0.600, 0.00887
0.700, 0.00887
0.800, 0.00887
0.900, 0.00887
1.000, 0.00887
0.900, 0.00889
0.800, 0.00891
0.900, 0.00892
1.000, 0.00892
0.900, 0.00895
1.000, 0.00898
0.900, 0.00900
1.000, 0.00903
0.900, 0.00905
0.800, 0.00908
0.900, 0.00908
1.000, 0.00908
0.900, 0.00910
1.000, 0.00912
0.900, 0.00913
0.800, 0.00914
0.700, 0.00915
0.800, 0.00916
0.900, 0.00916
1.000, 0.00916
0.900, 0.00916
1.000, 0.00918
0.900, 0.00919
0.800, 0.00920
0.900, 0.00921
1.000, 0.00921
0.900, 0.00922
0.800, 0.00922
0.900, 0.00924
1.000, 0.00924
0.900, 0.00926
1.000, 0.00929
0.900, 0.00931
1.000, 0.00934
0.900, 0.00936
1.000, 0.00939
0.900, 0.00942
1.000, 0.00944
0.900, 0.00947
1.000, 0.00949
0.900, 0.00951
1.000, 0.00955
0.900, 0.00956
1.000, 0.00959
0.900, 0.00962
1.000, 0.00964
0.900, 0.00966
1.000, 0.00969
0.900, 0.00971
1.000, 0.00974
0.900, 0.00977
1.000, 0.00979
0.900, 0.00981
1.000, 0.00984
0.900, 0.00986
1.000, 0.00989
0.900, 0.00989
0.800, 0.00990
0.900, 0.00992
1.000, 0.00992
0.900, 0.00992
0.800, 0.00993
0.900, 0.00995
1.000, 0.00995
0.900, 0.00997
1.000, 0.01000
0.900, 0.01002
1.000, 0.01004
0.900, 0.01006
1.000, 0.01009
0.900, 0.01012
1.000, 0.01015
0.900, 0.01016
1.000, 0.01019
0.900, 0.01021
1.000, 0.01023
0.900, 0.01026
1.000, 0.01029
0.900, 0.01031
1.000, 0.01033
0.900, 0.01037
1.000, 0.01039
0.900, 0.01043
1.000, 0.01046
0.900, 0.01048
0.800, 0.01050
0.900, 0.01050
1.000, 0.01050
0.900, 0.01050
0.800, 0.01052
0.900, 0.01052
1.000, 0.01052
0.900, 0.01056
1.000, 0.01058
0.900, 0.01062
1.000, 0.01064
0.900, 0.01067
1.000, 0.01069
0.900, 0.01072
1.000, 0.01074
0.900, 0.01077
1.000, 0.01079
0.900, 0.01082
1.000, 0.01084
0.900, 0.01086
1.000, 0.01089
0.900, 0.01091
1.000, 0.01094
0.900, 0.01096
1.000, 0.01098
0.900, 0.01101
1.000, 0.01104
0.900, 0.01106
1.000, 0.01108
0.900, 0.01111
1.000, 0.01115
0.900, 0.01116
1.000, 0.01119
0.900, 0.01121
1.000, 0.01123
0.900, 0.01126
1.000, 0.01128
0.900, 0.01131
1.000, 0.01133
0.900, 0.01136
1.000, 0.01139
0.900, 0.01141
1.000, 0.01144
0.900, 0.01146
1.000, 0.01149
0.900, 0.01152
1.000, 0.01155
0.900, 0.01157
1.000, 0.01160
0.900, 0.01161
1.000, 0.01164
0.900, 0.01166
1.000, 0.01168
0.900, 0.01170
1.000, 0.01173
0.900, 0.01175
1.000, 0.01178
0.900, 0.01179
0.800, 0.01179
0.700, 0.01179
0.800, 0.01181
0.900, 0.01181
1.000, 0.01181
0.900, 0.01181
1.000, 0.01184
0.900, 0.01184
1.000, 0.01186
0.900, 0.01187
1.000, 0.01188
0.900, 0.01189
1.000, 0.01192
0.900, 0.01194
1.000, 0.01197
0.900, 0.01199
0.800, 0.01201
0.900, 0.01202
1.000, 0.01202
0.900, 0.01202
0.800, 0.01202
0.700, 0.01203
0.600, 0.01205
0.700, 0.01205
0.800, 0.01205
0.900, 0.01205
1.000, 0.01205
0.900, 0.01207
0.800, 0.01208
0.900, 0.01209
1.000, 0.01210
0.900, 0.01212
1.000, 0.01215
0.900, 0.01217
1.000, 0.01220
0.900, 0.01222
1.000, 0.01224
0.900, 0.01227
1.000, 0.01230
0.900, 0.01230
1.000, 0.01232
0.900, 0.01233
0.800, 0.01235
0.900, 0.01236
1.000, 0.01236
0.900, 0.01237
0.800, 0.01237
0.900, 0.01239
1.000, 0.01239
0.900, 0.01240
1.000, 0.01242
0.900, 0.01242
0.800, 0.01243
0.700, 0.01244
0.800, 0.01245
0.900, 0.01245
1.000, 0.01245
0.900, 0.01246
0.800, 0.01246
0.900, 0.01248
1.000, 0.01248
0.900, 0.01251
0.800, 0.01251
0.900, 0.01252
1.000, 0.01252
0.900, 0.01254
1.000, 0.01257
0.900, 0.01259
1.000, 0.01262
0.900, 0.01264
1.000, 0.01266
0.900, 0.01268
1.000, 0.01271
0.900, 0.01273
1.000, 0.01276
0.900, 0.01279
1.000, 0.01281
0.900, 0.01284
1.000, 0.01286
0.900, 0.01289
1.000, 0.01292
0.900, 0.01294
1.000, 0.01299
0.900, 0.01299
1.000, 0.01301
0.900, 0.01304
1.000, 0.01306
0.900, 0.01309
1.000, 0.01313
0.900, 0.01313
1.000, 0.01316
0.900, 0.01316
0.800, 0.01317
0.900, 0.01319
0.800, 0.01319
0.900, 0.01319
1.000, 0.01319
0.900, 0.01322
1.000, 0.01325
0.900, 0.01327
1.000, 0.01329
0.900, 0.01332
1.000, 0.01335
0.900, 0.01337
1.000, 0.01339
0.900, 0.01341
1.000, 0.01345
0.900, 0.01346
1.000, 0.01348
0.900, 0.01351
1.000, 0.01354
0.900, 0.01356
1.000, 0.01358
0.900, 0.01361
1.000, 0.01364
0.900, 0.01366
1.000, 0.01368
0.900, 0.01370
0.800, 0.01370
0.700, 0.01371
0.800, 0.01373
0.900, 0.01373
1.000, 0.01373
0.900, 0.01373
0.800, 0.01374
0.700, 0.01376
0.800, 0.01376
0.900, 0.01376
1.000, 0.01376
0.900, 0.01379
1.000, 0.01381
