Ocupacao, Tempo\n
0.010, 0.00035
0.020, 0.00050
0.030, 0.00050
0.040, 0.00050
0.050, 0.00050
0.060, 0.00050
0.070, 0.00050
0.080, 0.00050
0.090, 0.00050
0.100, 0.00050
0.110, 0.00050
0.120, 0.00050
0.130, 0.00050
0.140, 0.00050
0.150, 0.00050
0.160, 0.00050
0.170, 0.00050
0.180, 0.00050
0.190, 0.00050
0.200, 0.00050
0.210, 0.00050
0.220, 0.00050
0.230, 0.00050
0.240, 0.00050
0.250, 0.00050
0.260, 0.00050
0.270, 0.00050
0.280, 0.00050
0.290, 0.00050
0.300, 0.00050
0.310, 0.00050
0.320, 0.00050
0.330, 0.00050
0.340, 0.00050
0.350, 0.00050
0.360, 0.00050
0.370, 0.00050
0.380, 0.00050
0.390, 0.00050
0.400, 0.00050
0.410, 0.00050
0.420, 0.00050
0.430, 0.00050
0.440, 0.00050
0.450, 0.00050
0.460, 0.00050
0.470, 0.00050
0.480, 0.00050
0.490, 0.00050
0.500, 0.00050
0.510, 0.00050
0.520, 0.00050
0.530, 0.00050
0.540, 0.00050
0.550, 0.00050
0.560, 0.00050
0.570, 0.00050
0.580, 0.00050
0.590, 0.00050
0.600, 0.00050
0.610, 0.00050
0.620, 0.00050
0.630, 0.00050
0.640, 0.00050
0.650, 0.00050
0.660, 0.00050
0.670, 0.00050
0.680, 0.00050
0.690, 0.00050
0.700, 0.00050
0.710, 0.00050
0.720, 0.00050
0.730, 0.00050
0.740, 0.00050
0.750, 0.00050
0.760, 0.00050
0.770, 0.00050
0.780, 0.00050
0.790, 0.00050
0.800, 0.00050
0.810, 0.00050
0.820, 0.00050
0.830, 0.00050
0.840, 0.00050
0.850, 0.00050
0.860, 0.00050
0.870, 0.00050
0.880, 0.00050
0.890, 0.00050
0.900, 0.00050
0.910, 0.00050
0.920, 0.00050
0.930, 0.00050
0.940, 0.00050
0.950, 0.00050
0.960, 0.00050
0.970, 0.00050
0.980, 0.00050
0.990, 0.00051
1.000, 0.00051
0.990, 0.00053
1.000, 0.00055
0.990, 0.00057
1.000, 0.00059
0.990, 0.00062
1.000, 0.00063
0.990, 0.00064
1.000, 0.00067
0.990, 0.00067
1.000, 0.00070
0.990, 0.00070
1.000, 0.00072
0.990, 0.00073
1.000, 0.00075
0.990, 0.00077
1.000, 0.00079
0.990, 0.00081
1.000, 0.00083
0.990, 0.00084
1.000, 0.00086
0.990, 0.00088
0.980, 0.00089
0.970, 0.00089
0.960, 0.00089
0.950, 0.00090
0.960, 0.00090
0.970, 0.00090
0.980, 0.00090
0.990, 0.00090
1.000, 0.00090
0.990, 0.00093
1.000, 0.00095
0.990, 0.00095
1.000, 0.00097
0.990, 0.00099
1.000, 0.00101
0.990, 0.00102
1.000, 0.00104
0.990, 0.00106
1.000, 0.00108
0.990, 0.00110
0.980, 0.00112
0.990, 0.00112
1.000, 0.00112
0.990, 0.00114
1.000, 0.00116
0.990, 0.00119
1.000, 0.00121
0.990, 0.00123
1.000, 0.00125
0.990, 0.00127
1.000, 0.00129
0.990, 0.00130
1.000, 0.00132
0.990, 0.00135
0.980, 0.00136
0.970, 0.00137
0.960, 0.00137
0.950, 0.00137
0.960, 0.00137
0.970, 0.00137
0.980, 0.00137
0.990, 0.00137
0.980, 0.00137
0.990, 0.00137
1.000, 0.00137
0.990, 0.00137
0.980, 0.00137
0.970, 0.00137
