Ocupacao, Tempo\n
0.100, 0.00024
0.200, 0.00071
0.100, 0.00072
0.200, 0.00073
0.300, 0.00073
0.400, 0.00073
0.500, 0.00073
0.600, 0.00073
0.700, 0.00073
0.800, 0.00073
0.900, 0.00073
1.000, 0.00073
0.900, 0.00074
1.000, 0.00076
0.900, 0.00079
0.800, 0.00080
0.700, 0.00083
0.600, 0.00083
0.500, 0.00083
0.400, 0.00083
0.500, 0.00083
0.400, 0.00083
0.500, 0.00083
0.600, 0.00083
0.700, 0.00084
0.800, 0.00084
0.900, 0.00084
1.000, 0.00084
0.900, 0.00084
1.000, 0.00086
0.900, 0.00088
0.800, 0.00088
0.700, 0.00088
0.600, 0.00088
0.500, 0.00088
0.600, 0.00090
0.700, 0.00090
0.800, 0.00090
0.900, 0.00090
1.000, 0.00090
0.900, 0.00093
1.000, 0.00095
0.900, 0.00099
1.000, 0.00102
0.900, 0.00104
1.000, 0.00106
0.900, 0.00108
1.000, 0.00111
0.900, 0.00113
1.000, 0.00115
0.900, 0.00118
1.000, 0.00121
0.900, 0.00122
1.000, 0.00124
0.900, 0.00127
1.000, 0.00129
0.900, 0.00131
1.000, 0.00134
0.900, 0.00136
1.000, 0.00139
0.900, 0.00141
0.800, 0.00142
0.700, 0.00142
0.600, 0.00142
0.500, 0.00143
0.400, 0.00143
0.500, 0.00143
0.600, 0.00143
0.700, 0.00143
0.800, 0.00143
0.900, 0.00143
1.000, 0.00143
0.900, 0.00143
1.000, 0.00145
0.900, 0.00145
0.800, 0.00146
0.700, 0.00147
0.600, 0.00147
0.500, 0.00147
0.400, 0.00147
0.500, 0.00148
0.600, 0.00148
0.700, 0.00148
0.800, 0.00148
0.900, 0.00148
1.000, 0.00148
0.900, 0.00149
1.000, 0.00151
0.900, 0.00156
1.000, 0.00158
0.900, 0.00160
1.000, 0.00162
0.900, 0.00165
1.000, 0.00168
0.900, 0.00169
0.800, 0.00170
0.700, 0.00171
0.600, 0.00171
0.500, 0.00171
0.400, 0.00171
