Ocupacao, Tempo\n
1.000, 0.00087
0.000, 0.00114
1.000, 0.00117
0.000, 0.00136
1.000, 0.00137
0.000, 0.00141
1.000, 0.00141
0.000, 0.00143
1.000, 0.00146
0.000, 0.00147
1.000, 0.00149
0.000, 0.00151
1.000, 0.00154
0.000, 0.00156
1.000, 0.00164
0.000, 0.00167
1.000, 0.00170
0.000, 0.00172
1.000, 0.00175
0.000, 0.00176
1.000, 0.00180
0.000, 0.00181
1.000, 0.00183
0.000, 0.00187
1.000, 0.00190
0.000, 0.00191
1.000, 0.00194
0.000, 0.00196
1.000, 0.00199
0.000, 0.00200
1.000, 0.00204
0.000, 0.00205
1.000, 0.00206
0.000, 0.00209
1.000, 0.00214
0.000, 0.00215
1.000, 0.00218
0.000, 0.00219
1.000, 0.00225
0.000, 0.00228
1.000, 0.00228
0.000, 0.00232
1.000, 0.00235
0.000, 0.00236
1.000, 0.00240
0.000, 0.00241
1.000, 0.00243
0.000, 0.00245
1.000, 0.00245
0.000, 0.00248
1.000, 0.00251
0.000, 0.00252
1.000, 0.00255
0.000, 0.00256
1.000, 0.00258
0.000, 0.00260
1.000, 0.00263
0.000, 0.00264
1.000, 0.00267
0.000, 0.00268
1.000, 0.00271
0.000, 0.00272
1.000, 0.00275
0.000, 0.00277
1.000, 0.00277
0.000, 0.00279
1.000, 0.00282
0.000, 0.00283
1.000, 0.00286
0.000, 0.00287
1.000, 0.00289
0.000, 0.00289
1.000, 0.00292
0.000, 0.00293
1.000, 0.00296
0.000, 0.00297
1.000, 0.00300
0.000, 0.00302
1.000, 0.00304
0.000, 0.00306
1.000, 0.00309
0.000, 0.00310
1.000, 0.00315
0.000, 0.00318
1.000, 0.00321
0.000, 0.00323
1.000, 0.00326
0.000, 0.00329
1.000, 0.00331
0.000, 0.00333
1.000, 0.00338
0.000, 0.00341
1.000, 0.00345
0.000, 0.00346
1.000, 0.00349
0.000, 0.00351
1.000, 0.00353
0.000, 0.00355
1.000, 0.00358
0.000, 0.00360
1.000, 0.00363
0.000, 0.00364
1.000, 0.00367
0.000, 0.00368
1.000, 0.00371
0.000, 0.00372
1.000, 0.00375
0.000, 0.00376
1.000, 0.00379
0.000, 0.00380
1.000, 0.00383
0.000, 0.00384
1.000, 0.00387
0.000, 0.00388
1.000, 0.00394
0.000, 0.00397
1.000, 0.00399
0.000, 0.00401
1.000, 0.00403
0.000, 0.00405
1.000, 0.00407
0.000, 0.00409
1.000, 0.00415
0.000, 0.00417
1.000, 0.00420
0.000, 0.00421
1.000, 0.00425
0.000, 0.00426
1.000, 0.00429
0.000, 0.00430
1.000, 0.00433
0.000, 0.00434
1.000, 0.00437
0.000, 0.00438
1.000, 0.00441
0.000, 0.00442
1.000, 0.00445
0.000, 0.00446
1.000, 0.00449
0.000, 0.00450
1.000, 0.00453
0.000, 0.00454
1.000, 0.00456
0.000, 0.00458
1.000, 0.00461
0.000, 0.00462
1.000, 0.00464
0.000, 0.00468
1.000, 0.00471
0.000, 0.00474
1.000, 0.00474
0.000, 0.00478
1.000, 0.00481
0.000, 0.00482
