Ocupacao, Tempo\n
0.100, 0.00044
0.200, 0.00090
0.300, 0.00090
0.400, 0.00090
0.500, 0.00090
0.600, 0.00090
0.700, 0.00091
0.800, 0.00091
0.900, 0.00091
1.000, 0.00091
0.900, 0.00091
0.800, 0.00093
0.900, 0.00094
1.000, 0.00094
0.900, 0.00098
1.000, 0.00100
0.900, 0.00101
0.800, 0.00102
0.700, 0.00102
0.800, 0.00104
0.900, 0.00104
1.000, 0.00104
0.900, 0.00106
0.800, 0.00106
0.900, 0.00109
1.000, 0.00109
0.900, 0.00110
0.800, 0.00111
0.900, 0.00112
1.000, 0.00112
0.900, 0.00115
0.800, 0.00115
0.700, 0.00117
0.600, 0.00117
0.500, 0.00117
0.600, 0.00118
0.700, 0.00118
0.800, 0.00118
0.900, 0.00118
1.000, 0.00118
0.900, 0.00119
1.000, 0.00121
0.900, 0.00122
1.000, 0.00124
0.900, 0.00124
1.000, 0.00127
0.900, 0.00127
0.800, 0.00128
0.900, 0.00129
1.000, 0.00129
0.900, 0.00130
0.800, 0.00131
0.900, 0.00132
1.000, 0.00132
0.900, 0.00133
1.000, 0.00135
0.900, 0.00136
1.000, 0.00138
0.900, 0.00139
1.000, 0.00141
0.900, 0.00142
1.000, 0.00144
0.900, 0.00144
1.000, 0.00147
0.900, 0.00147
1.000, 0.00149
0.900, 0.00150
1.000, 0.00152
0.900, 0.00152
1.000, 0.00152
0.900, 0.00155
1.000, 0.00158
0.900, 0.00160
1.000, 0.00162
0.900, 0.00164
1.000, 0.00167
0.900, 0.00169
1.000, 0.00172
0.900, 0.00173
1.000, 0.00176
0.900, 0.00177
1.000, 0.00179
0.900, 0.00181
1.000, 0.00183
0.900, 0.00186
1.000, 0.00188
0.900, 0.00190
1.000, 0.00193
0.900, 0.00195
1.000, 0.00198
0.900, 0.00198
1.000, 0.00199
0.900, 0.00202
1.000, 0.00204
0.900, 0.00206
1.000, 0.00209
0.900, 0.00210
1.000, 0.00213
0.900, 0.00213
1.000, 0.00216
0.900, 0.00217
1.000, 0.00220
0.900, 0.00222
1.000, 0.00225
0.900, 0.00227
1.000, 0.00229
0.900, 0.00231
1.000, 0.00233
0.900, 0.00236
1.000, 0.00238
0.900, 0.00240
1.000, 0.00243
0.900, 0.00245
1.000, 0.00247
0.900, 0.00249
1.000, 0.00252
0.900, 0.00254
1.000, 0.00256
0.900, 0.00259
0.800, 0.00261
0.900, 0.00262
1.000, 0.00262
0.900, 0.00264
1.000, 0.00266
0.900, 0.00267
1.000, 0.00269
0.900, 0.00272
1.000, 0.00274
0.900, 0.00276
1.000, 0.00279
0.900, 0.00281
0.800, 0.00286
0.900, 0.00286
1.000, 0.00286
0.900, 0.00290
1.000, 0.00292
0.900, 0.00295
1.000, 0.00297
0.900, 0.00299
0.800, 0.00302
0.900, 0.00302
1.000, 0.00302
0.900, 0.00302
1.000, 0.00305
0.900, 0.00306
1.000, 0.00308
0.900, 0.00311
1.000, 0.00313
0.900, 0.00315
1.000, 0.00318
0.900, 0.00320
1.000, 0.00322
0.900, 0.00326
0.800, 0.00328
0.900, 0.00329
1.000, 0.00329
0.900, 0.00329
1.000, 0.00332
0.900, 0.00332
0.800, 0.00333
0.900, 0.00334
1.000, 0.00334
0.900, 0.00336
1.000, 0.00338
0.900, 0.00340
1.000, 0.00342
0.900, 0.00345
1.000, 0.00348
0.900, 0.00350
1.000, 0.00353
0.900, 0.00355
1.000, 0.00357
0.900, 0.00357
1.000, 0.00360
0.900, 0.00362
1.000, 0.00365
0.900, 0.00366
1.000, 0.00369
0.900, 0.00371
1.000, 0.00374
0.900, 0.00376
1.000, 0.00378
0.900, 0.00380
1.000, 0.00382
0.900, 0.00386
0.800, 0.00388
0.700, 0.00388
0.800, 0.00388
0.900, 0.00388
1.000, 0.00388
0.900, 0.00389
0.800, 0.00390
0.900, 0.00391
1.000, 0.00391
0.900, 0.00394
0.800, 0.00395
0.900, 0.00396
1.000, 0.00396
0.900, 0.00397
0.800, 0.00399
0.900, 0.00400
1.000, 0.00400
0.900, 0.00400
1.000, 0.00402
0.900, 0.00403
1.000, 0.00406
0.900, 0.00408
1.000, 0.00410
0.900, 0.00413
1.000, 0.00415
0.900, 0.00417
1.000, 0.00419
0.900, 0.00423
1.000, 0.00426
0.900, 0.00427
1.000, 0.00429
0.900, 0.00432
1.000, 0.00434
0.900, 0.00436
1.000, 0.00438
0.900, 0.00441
1.000, 0.00443
0.900, 0.00445
1.000, 0.00448
0.900, 0.00450
1.000, 0.00452
0.900, 0.00454
1.000, 0.00457
0.900, 0.00459
1.000, 0.00461
0.900, 0.00463
1.000, 0.00465
0.900, 0.00467
0.800, 0.00470
0.900, 0.00470
1.000, 0.00470
0.900, 0.00472
1.000, 0.00475
0.900, 0.00476
1.000, 0.00479
0.900, 0.00480
1.000, 0.00482
0.900, 0.00484
1.000, 0.00487
0.900, 0.00490
1.000, 0.00493
0.900, 0.00495
1.000, 0.00498
0.900, 0.00500
1.000, 0.00502
0.900, 0.00504
1.000, 0.00506
0.900, 0.00508
1.000, 0.00510
0.900, 0.00513
1.000, 0.00515
0.900, 0.00517
1.000, 0.00520
0.900, 0.00522
1.000, 0.00524
0.900, 0.00527
1.000, 0.00529
0.900, 0.00531
1.000, 0.00534
0.900, 0.00536
1.000, 0.00539
0.900, 0.00541
1.000, 0.00543
0.900, 0.00545
1.000, 0.00547
0.900, 0.00549
1.000, 0.00551
0.900, 0.00553
1.000, 0.00556
0.900, 0.00557
1.000, 0.00560
0.900, 0.00562
1.000, 0.00564
0.900, 0.00566
1.000, 0.00568
0.900, 0.00571
1.000, 0.00573
0.900, 0.00575
1.000, 0.00577
0.900, 0.00579
1.000, 0.00581
0.900, 0.00584
1.000, 0.00586
0.900, 0.00588
1.000, 0.00590
0.900, 0.00592
1.000, 0.00594
0.900, 0.00596
1.000, 0.00598
0.900, 0.00600
1.000, 0.00602
0.900, 0.00605
1.000, 0.00607
0.900, 0.00610
1.000, 0.00614
0.900, 0.00616
1.000, 0.00618
0.900, 0.00620
1.000, 0.00623
0.900, 0.00626
0.800, 0.00628
0.900, 0.00628
1.000, 0.00628
0.900, 0.00630
1.000, 0.00632
0.900, 0.00634
1.000, 0.00636
0.900, 0.00636
0.800, 0.00637
0.900, 0.00638
1.000, 0.00638
0.900, 0.00641
1.000, 0.00644
0.900, 0.00646
1.000, 0.00649
0.900, 0.00651
1.000, 0.00653
0.900, 0.00654
0.800, 0.00655
0.700, 0.00655
0.600, 0.00655
0.700, 0.00656
0.800, 0.00656
0.900, 0.00656
1.000, 0.00656
0.900, 0.00659
1.000, 0.00662
0.900, 0.00663
1.000, 0.00666
0.900, 0.00667
1.000, 0.00670
0.900, 0.00673
1.000, 0.00675
0.900, 0.00678
1.000, 0.00680
0.900, 0.00682
1.000, 0.00685
0.900, 0.00688
1.000, 0.00690
0.900, 0.00692
1.000, 0.00695
0.900, 0.00696
0.800, 0.00699
0.900, 0.00699
1.000, 0.00699
0.900, 0.00701
1.000, 0.00703
0.900, 0.00706
1.000, 0.00708
0.900, 0.00710
1.000, 0.00713
0.900, 0.00715
1.000, 0.00717
0.900, 0.00719
1.000, 0.00721
0.900, 0.00723
1.000, 0.00726
0.900, 0.00728
1.000, 0.00730
0.900, 0.00730
0.800, 0.00731
0.900, 0.00733
1.000, 0.00733
0.900, 0.00735
0.800, 0.00736
0.700, 0.00736
0.600, 0.00738
0.500, 0.00738
0.600, 0.00738
0.500, 0.00738
0.600, 0.00738
0.700, 0.00738
0.800, 0.00738
0.900, 0.00738
1.000, 0.00738
0.900, 0.00738
0.800, 0.00739
0.900, 0.00739
0.800, 0.00739
0.900, 0.00739
1.000, 0.00739
0.900, 0.00739
0.800, 0.00741
0.900, 0.00742
1.000, 0.00742
0.900, 0.00745
1.000, 0.00747
0.900, 0.00749
1.000, 0.00752
0.900, 0.00754
1.000, 0.00756
0.900, 0.00758
1.000, 0.00761
0.900, 0.00763
1.000, 0.00766
0.900, 0.00768
1.000, 0.00771
0.900, 0.00772
1.000, 0.00774
0.900, 0.00777
1.000, 0.00779
0.900, 0.00781
1.000, 0.00784
0.900, 0.00788
1.000, 0.00791
0.900, 0.00792
1.000, 0.00795
0.900, 0.00797
0.800, 0.00800
0.700, 0.00803
0.800, 0.00804
0.900, 0.00804
1.000, 0.00804
0.900, 0.00805
1.000, 0.00807
0.900, 0.00807
1.000, 0.00807
0.900, 0.00809
1.000, 0.00811
0.900, 0.00813
1.000, 0.00816
0.900, 0.00818
1.000, 0.00820
0.900, 0.00822
1.000, 0.00825
0.900, 0.00826
1.000, 0.00828
0.900, 0.00831
1.000, 0.00834
0.900, 0.00835
1.000, 0.00837
0.900, 0.00840
1.000, 0.00842
0.900, 0.00845
1.000, 0.00847
0.900, 0.00849
1.000, 0.00852
0.900, 0.00852
1.000, 0.00852
0.900, 0.00855
0.800, 0.00856
0.900, 0.00857
1.000, 0.00857
0.900, 0.00859
1.000, 0.00862
0.900, 0.00863
1.000, 0.00866
0.900, 0.00868
1.000, 0.00870
0.900, 0.00873
1.000, 0.00875
0.900, 0.00877
1.000, 0.00879
0.900, 0.00881
1.000, 0.00883
0.900, 0.00886
1.000, 0.00888
0.900, 0.00890
1.000, 0.00892
0.900, 0.00893
1.000, 0.00896
0.900, 0.00897
1.000, 0.00900
0.900, 0.00902
1.000, 0.00905
0.900, 0.00907
1.000, 0.00909
0.900, 0.00912
1.000, 0.00915
0.900, 0.00915
1.000, 0.00918
0.900, 0.00918
1.000, 0.00918
0.900, 0.00920
1.000, 0.00923
0.900, 0.00925
1.000, 0.00928
0.900, 0.00930
1.000, 0.00932
0.900, 0.00935
1.000, 0.00937
0.900, 0.00940
1.000, 0.00942
0.900, 0.00944
1.000, 0.00948
0.900, 0.00950
1.000, 0.00953
0.900, 0.00954
1.000, 0.00956
0.900, 0.00958
1.000, 0.00961
0.900, 0.00961
0.800, 0.00962
0.900, 0.00963
1.000, 0.00963
0.900, 0.00965
1.000, 0.00968
0.900, 0.00970
1.000, 0.00972
0.900, 0.00974
1.000, 0.00976
0.900, 0.00979
1.000, 0.00981
0.900, 0.00983
1.000, 0.00986
0.900, 0.00988
1.000, 0.00990
0.900, 0.00992
1.000, 0.00994
0.900, 0.00996
1.000, 0.00999
0.900, 0.01000
1.000, 0.01003
0.900, 0.01005
1.000, 0.01007
0.900, 0.01010
1.000, 0.01013
0.900, 0.01015
1.000, 0.01017
0.900, 0.01019
1.000, 0.01022
0.900, 0.01023
1.000, 0.01026
0.900, 0.01028
1.000, 0.01030
0.900, 0.01030
0.800, 0.01033
0.900, 0.01033
1.000, 0.01033
0.900, 0.01035
1.000, 0.01038
0.900, 0.01040
1.000, 0.01043
0.900, 0.01045
1.000, 0.01047
0.900, 0.01050
1.000, 0.01052
0.900, 0.01055
1.000, 0.01057
0.900, 0.01059
1.000, 0.01061
0.900, 0.01064
1.000, 0.01066
0.900, 0.01068
1.000, 0.01070
0.900, 0.01073
1.000, 0.01075
0.900, 0.01077
1.000, 0.01079
0.900, 0.01081
1.000, 0.01083
0.900, 0.01086
1.000, 0.01088
0.900, 0.01090
1.000, 0.01092
0.900, 0.01094
1.000, 0.01097
0.900, 0.01099
1.000, 0.01102
0.900, 0.01103
1.000, 0.01106
0.900, 0.01108
1.000, 0.01111
0.900, 0.01113
1.000, 0.01115
0.900, 0.01117
1.000, 0.01119
0.900, 0.01121
1.000, 0.01123
0.900, 0.01126
1.000, 0.01128
0.900, 0.01129
1.000, 0.01132
0.900, 0.01134
1.000, 0.01136
0.900, 0.01139
1.000, 0.01141
0.900, 0.01143
1.000, 0.01146
0.900, 0.01148
1.000, 0.01151
0.900, 0.01152
