Ocupacao, Tempo\n
1.000, 0.00041
0.000, 0.00142
1.000, 0.00148
0.000, 0.00154
1.000, 0.00159
0.000, 0.00160
1.000, 0.00165
0.000, 0.00167
1.000, 0.00173
0.000, 0.00176
1.000, 0.00181
0.000, 0.00183
1.000, 0.00187
0.000, 0.00189
1.000, 0.00194
0.000, 0.00196
1.000, 0.00200
0.000, 0.00203
1.000, 0.00207
0.000, 0.00209
1.000, 0.00214
0.000, 0.00216
1.000, 0.00222
0.000, 0.00222
1.000, 0.00227
0.000, 0.00232
1.000, 0.00236
0.000, 0.00239
1.000, 0.00243
0.000, 0.00245
1.000, 0.00250
0.000, 0.00253
1.000, 0.00257
0.000, 0.00260
1.000, 0.00265
0.000, 0.00267
1.000, 0.00271
0.000, 0.00274
1.000, 0.00279
0.000, 0.00280
1.000, 0.00285
0.000, 0.00287
1.000, 0.00292
0.000, 0.00294
1.000, 0.00298
0.000, 0.00301
1.000, 0.00305
0.000, 0.00308
1.000, 0.00312
0.000, 0.00314
1.000, 0.00319
0.000, 0.00323
1.000, 0.00327
0.000, 0.00330
1.000, 0.00335
0.000, 0.00336
1.000, 0.00341
0.000, 0.00343
1.000, 0.00348
0.000, 0.00350
1.000, 0.00355
0.000, 0.00358
1.000, 0.00363
0.000, 0.00366
1.000, 0.00373
0.000, 0.00373
1.000, 0.00373
0.000, 0.00380
1.000, 0.00384
0.000, 0.00386
1.000, 0.00391
0.000, 0.00393
1.000, 0.00398
0.000, 0.00400
1.000, 0.00404
0.000, 0.00406
1.000, 0.00412
0.000, 0.00413
1.000, 0.00418
0.000, 0.00420
1.000, 0.00425
0.000, 0.00426
1.000, 0.00430
0.000, 0.00432
1.000, 0.00437
0.000, 0.00439
1.000, 0.00444
0.000, 0.00446
1.000, 0.00450
0.000, 0.00453
1.000, 0.00457
0.000, 0.00459
1.000, 0.00464
0.000, 0.00465
1.000, 0.00470
0.000, 0.00472
1.000, 0.00476
0.000, 0.00479
1.000, 0.00484
0.000, 0.00488
1.000, 0.00492
0.000, 0.00495
1.000, 0.00499
0.000, 0.00502
1.000, 0.00506
0.000, 0.00508
1.000, 0.00513
0.000, 0.00515
1.000, 0.00520
0.000, 0.00522
1.000, 0.00526
0.000, 0.00529
1.000, 0.00534
0.000, 0.00536
1.000, 0.00539
0.000, 0.00542
1.000, 0.00546
0.000, 0.00549
1.000, 0.00553
0.000, 0.00555
1.000, 0.00560
0.000, 0.00562
1.000, 0.00566
0.000, 0.00569
1.000, 0.00573
0.000, 0.00576
1.000, 0.00581
0.000, 0.00583
1.000, 0.00587
0.000, 0.00590
1.000, 0.00594
0.000, 0.00596
1.000, 0.00600
0.000, 0.00602
1.000, 0.00607
0.000, 0.00609
1.000, 0.00612
0.000, 0.00618
1.000, 0.00626
0.000, 0.00631
1.000, 0.00636
0.000, 0.00638
1.000, 0.00643
0.000, 0.00645
1.000, 0.00651
0.000, 0.00651
1.000, 0.00656
0.000, 0.00658
1.000, 0.00662
0.000, 0.00664
1.000, 0.00669
0.000, 0.00675
1.000, 0.00679
0.000, 0.00682
1.000, 0.00686
0.000, 0.00688
1.000, 0.00691
0.000, 0.00694
1.000, 0.00699
0.000, 0.00701
1.000, 0.00705
0.000, 0.00707
1.000, 0.00712
0.000, 0.00713
1.000, 0.00719
0.000, 0.00720
1.000, 0.00725
0.000, 0.00727
1.000, 0.00731
0.000, 0.00733
1.000, 0.00737
0.000, 0.00739
1.000, 0.00743
0.000, 0.00745
1.000, 0.00750
0.000, 0.00752
1.000, 0.00757
0.000, 0.00759
1.000, 0.00764
0.000, 0.00765
1.000, 0.00775
0.000, 0.00780
1.000, 0.00784
0.000, 0.00788
1.000, 0.00792
0.000, 0.00794
1.000, 0.00798
0.000, 0.00801
1.000, 0.00804
0.000, 0.00807
1.000, 0.00817
0.000, 0.00822
1.000, 0.00826
0.000, 0.00829
1.000, 0.00833
0.000, 0.00835
1.000, 0.00839
0.000, 0.00842
1.000, 0.00847
0.000, 0.00849
1.000, 0.00853
0.000, 0.00855
1.000, 0.00860
0.000, 0.00861
1.000, 0.00866
0.000, 0.00868
1.000, 0.00873
0.000, 0.00875
1.000, 0.00880
0.000, 0.00882
1.000, 0.00887
0.000, 0.00888
1.000, 0.00892
0.000, 0.00895
1.000, 0.00899
0.000, 0.00902
1.000, 0.00906
0.000, 0.00908
1.000, 0.00913
0.000, 0.00915
1.000, 0.00919
0.000, 0.00921
1.000, 0.00926
0.000, 0.00928
1.000, 0.00932
0.000, 0.00934
1.000, 0.00939
0.000, 0.00940
1.000, 0.00944
0.000, 0.00947
1.000, 0.00952
0.000, 0.00954
1.000, 0.00958
0.000, 0.00961
1.000, 0.00966
0.000, 0.00967
1.000, 0.00973
0.000, 0.00976
1.000, 0.00980
0.000, 0.00983
1.000, 0.00987
0.000, 0.00989
1.000, 0.00993
0.000, 0.00995
1.000, 0.00999
0.000, 0.01002
1.000, 0.01006
0.000, 0.01009
1.000, 0.01013
0.000, 0.01015
1.000, 0.01019
0.000, 0.01021
1.000, 0.01025
0.000, 0.01029
1.000, 0.01034
0.000, 0.01036
1.000, 0.01041
0.000, 0.01042
1.000, 0.01047
0.000, 0.01049
1.000, 0.01053
0.000, 0.01056
1.000, 0.01060
0.000, 0.01063
1.000, 0.01067
0.000, 0.01070
1.000, 0.01074
0.000, 0.01077
1.000, 0.01081
0.000, 0.01083
1.000, 0.01089
0.000, 0.01090
1.000, 0.01094
0.000, 0.01097
1.000, 0.01101
0.000, 0.01103
1.000, 0.01107
0.000, 0.01110
1.000, 0.01114
0.000, 0.01116
1.000, 0.01120
0.000, 0.01123
1.000, 0.01128
0.000, 0.01129
1.000, 0.01134
0.000, 0.01135
1.000, 0.01141
0.000, 0.01142
1.000, 0.01146
0.000, 0.01158
1.000, 0.01163
0.000, 0.01168
1.000, 0.01173
0.000, 0.01175
1.000, 0.01180
0.000, 0.01182
1.000, 0.01185
0.000, 0.01189
1.000, 0.01193
0.000, 0.01196
1.000, 0.01200
0.000, 0.01202
1.000, 0.01208
0.000, 0.01210
1.000, 0.01214
0.000, 0.01216
1.000, 0.01221
0.000, 0.01223
1.000, 0.01227
0.000, 0.01231
1.000, 0.01235
0.000, 0.01236
1.000, 0.01239
0.000, 0.01243
1.000, 0.01248
0.000, 0.01252
1.000, 0.01256
0.000, 0.01260
1.000, 0.01265
0.000, 0.01270
1.000, 0.01274
0.000, 0.01275
1.000, 0.01280
0.000, 0.01284
1.000, 0.01288
0.000, 0.01292
1.000, 0.01297
0.000, 0.01299
1.000, 0.01305
0.000, 0.01306
1.000, 0.01311
0.000, 0.01312
1.000, 0.01319
0.000, 0.01333
1.000, 0.01338
0.000, 0.01342
1.000, 0.01347
0.000, 0.01348
1.000, 0.01352
0.000, 0.01357
1.000, 0.01362
0.000, 0.01366
1.000, 0.01370
0.000, 0.01375
1.000, 0.01378
0.000, 0.01381
1.000, 0.01386
0.000, 0.01390
1.000, 0.01394
0.000, 0.01398
1.000, 0.01402
0.000, 0.01404
1.000, 0.01408
0.000, 0.01410
1.000, 0.01415
0.000, 0.01419
1.000, 0.01424
0.000, 0.01427
1.000, 0.01431
0.000, 0.01434
1.000, 0.01439
0.000, 0.01441
1.000, 0.01446
0.000, 0.01457
1.000, 0.01462
0.000, 0.01465
1.000, 0.01469
0.000, 0.01472
1.000, 0.01476
0.000, 0.01478
1.000, 0.01483
0.000, 0.01486
1.000, 0.01489
0.000, 0.01492
1.000, 0.01497
0.000, 0.01500
1.000, 0.01504
0.000, 0.01507
1.000, 0.01511
0.000, 0.01513
1.000, 0.01519
0.000, 0.01533
1.000, 0.01538
0.000, 0.01544
1.000, 0.01548
0.000, 0.01555
1.000, 0.01561
0.000, 0.01569
1.000, 0.01574
0.000, 0.01585
1.000, 0.01590
0.000, 0.01595
1.000, 0.01600
0.000, 0.01602
1.000, 0.01607
0.000, 0.01615
1.000, 0.01620
0.000, 0.01622
1.000, 0.01627
0.000, 0.01630
1.000, 0.01635
0.000, 0.01639
1.000, 0.01643
0.000, 0.01653
1.000, 0.01658
0.000, 0.01664
1.000, 0.01669
0.000, 0.01678
1.000, 0.01683
0.000, 0.01689
1.000, 0.01693
0.000, 0.01707
1.000, 0.01712
0.000, 0.01718
1.000, 0.01722
0.000, 0.01724
1.000, 0.01727
0.000, 0.01732
1.000, 0.01736
0.000, 0.01738
1.000, 0.01743
0.000, 0.01747
1.000, 0.01752
0.000, 0.01764
1.000, 0.01772
0.000, 0.01779
1.000, 0.01784
0.000, 0.01796
1.000, 0.01801
0.000, 0.01803
1.000, 0.01808
0.000, 0.01810
1.000, 0.01817
0.000, 0.01819
1.000, 0.01823
0.000, 0.01836
1.000, 0.01839
0.000, 0.01840
1.000, 0.01845
0.000, 0.01846
1.000, 0.01850
0.000, 0.01861
1.000, 0.01866
0.000, 0.01869
1.000, 0.01873
0.000, 0.01876
1.000, 0.01880
0.000, 0.01887
