Ocupacao, Tempo\n
1.000, 0.00050
0.000, 0.00087
1.000, 0.00093
0.000, 0.00099
1.000, 0.00104
0.000, 0.00107
1.000, 0.00109
0.000, 0.00111
1.000, 0.00112
0.000, 0.00114
1.000, 0.00118
0.000, 0.00121
1.000, 0.00122
0.000, 0.00123
1.000, 0.00128
0.000, 0.00131
1.000, 0.00132
0.000, 0.00132
1.000, 0.00138
0.000, 0.00140
1.000, 0.00142
0.000, 0.00143
1.000, 0.00145
0.000, 0.00146
1.000, 0.00152
0.000, 0.00154
1.000, 0.00155
0.000, 0.00156
1.000, 0.00159
0.000, 0.00160
1.000, 0.00164
0.000, 0.00168
1.000, 0.00168
0.000, 0.00169
1.000, 0.00175
0.000, 0.00179
1.000, 0.00183
0.000, 0.00186
1.000, 0.00187
0.000, 0.00188
1.000, 0.00189
0.000, 0.00190
1.000, 0.00195
0.000, 0.00197
1.000, 0.00199
0.000, 0.00200
1.000, 0.00204
0.000, 0.00204
1.000, 0.00209
0.000, 0.00212
1.000, 0.00213
0.000, 0.00214
1.000, 0.00219
0.000, 0.00221
1.000, 0.00227
0.000, 0.00231
1.000, 0.00235
0.000, 0.00239
1.000, 0.00244
0.000, 0.00248
1.000, 0.00253
0.000, 0.00254
1.000, 0.00258
0.000, 0.00262
1.000, 0.00262
0.000, 0.00262
1.000, 0.00263
0.000, 0.00264
1.000, 0.00269
0.000, 0.00271
1.000, 0.00273
0.000, 0.00274
1.000, 0.00277
0.000, 0.00278
1.000, 0.00283
0.000, 0.00285
1.000, 0.00287
0.000, 0.00288
1.000, 0.00291
0.000, 0.00292
1.000, 0.00297
0.000, 0.00300
1.000, 0.00323
0.000, 0.00330
1.000, 0.00335
0.000, 0.00339
1.000, 0.00339
0.000, 0.00339
1.000, 0.00344
0.000, 0.00347
1.000, 0.00349
0.000, 0.00351
1.000, 0.00352
0.000, 0.00353
1.000, 0.00358
0.000, 0.00363
1.000, 0.00368
0.000, 0.00371
1.000, 0.00376
0.000, 0.00380
1.000, 0.00385
0.000, 0.00387
1.000, 0.00388
0.000, 0.00391
1.000, 0.00392
0.000, 0.00395
1.000, 0.00400
0.000, 0.00403
1.000, 0.00403
0.000, 0.00405
1.000, 0.00409
0.000, 0.00409
1.000, 0.00412
0.000, 0.00414
1.000, 0.00416
0.000, 0.00417
1.000, 0.00421
0.000, 0.00424
1.000, 0.00425
0.000, 0.00426
1.000, 0.00429
0.000, 0.00430
1.000, 0.00434
0.000, 0.00437
1.000, 0.00437
0.000, 0.00437
1.000, 0.00438
0.000, 0.00439
1.000, 0.00446
0.000, 0.00449
1.000, 0.00451
0.000, 0.00451
1.000, 0.00454
0.000, 0.00456
1.000, 0.00460
0.000, 0.00463
1.000, 0.00464
0.000, 0.00464
1.000, 0.00469
0.000, 0.00472
1.000, 0.00473
0.000, 0.00474
1.000, 0.00476
0.000, 0.00477
1.000, 0.00482
0.000, 0.00485
1.000, 0.00485
0.000, 0.00488
1.000, 0.00492
0.000, 0.00496
1.000, 0.00496
0.000, 0.00496
1.000, 0.00502
0.000, 0.00504
1.000, 0.00505
0.000, 0.00506
1.000, 0.00509
0.000, 0.00510
1.000, 0.00515
0.000, 0.00517
1.000, 0.00519
0.000, 0.00521
1.000, 0.00522
0.000, 0.00524
1.000, 0.00529
0.000, 0.00532
1.000, 0.00532
0.000, 0.00534
1.000, 0.00536
0.000, 0.00537
1.000, 0.00542
0.000, 0.00547
1.000, 0.00551
0.000, 0.00554
1.000, 0.00555
0.000, 0.00556
1.000, 0.00558
0.000, 0.00558
1.000, 0.00563
0.000, 0.00566
1.000, 0.00567
0.000, 0.00568
1.000, 0.00570
0.000, 0.00571
1.000, 0.00576
0.000, 0.00579
1.000, 0.00579
0.000, 0.00581
1.000, 0.00583
0.000, 0.00584
1.000, 0.00588
0.000, 0.00592
1.000, 0.00597
0.000, 0.00600
1.000, 0.00605
0.000, 0.00608
1.000, 0.00613
0.000, 0.00615
1.000, 0.00616
0.000, 0.00617
1.000, 0.00620
0.000, 0.00620
1.000, 0.00625
0.000, 0.00628
1.000, 0.00628
0.000, 0.00630
1.000, 0.00632
0.000, 0.00633
1.000, 0.00638
0.000, 0.00639
1.000, 0.00642
0.000, 0.00643
1.000, 0.00646
0.000, 0.00647
1.000, 0.00652
0.000, 0.00655
1.000, 0.00656
0.000, 0.00656
1.000, 0.00659
0.000, 0.00664
1.000, 0.00669
0.000, 0.00672
1.000, 0.00672
0.000, 0.00673
1.000, 0.00673
0.000, 0.00673
1.000, 0.00678
0.000, 0.00683
1.000, 0.00688
0.000, 0.00690
1.000, 0.00691
0.000, 0.00692
1.000, 0.00694
0.000, 0.00696
1.000, 0.00700
0.000, 0.00703
1.000, 0.00704
0.000, 0.00706
1.000, 0.00707
0.000, 0.00708
1.000, 0.00713
0.000, 0.00716
1.000, 0.00716
0.000, 0.00716
1.000, 0.00717
0.000, 0.00717
1.000, 0.00720
0.000, 0.00721
1.000, 0.00728
0.000, 0.00729
1.000, 0.00731
0.000, 0.00733
1.000, 0.00735
0.000, 0.00736
1.000, 0.00740
0.000, 0.00747
1.000, 0.00751
0.000, 0.00754
1.000, 0.00755
0.000, 0.00756
1.000, 0.00758
0.000, 0.00759
1.000, 0.00764
0.000, 0.00768
1.000, 0.00773
0.000, 0.00776
1.000, 0.00776
0.000, 0.00777
1.000, 0.00783
0.000, 0.00785
1.000, 0.00787
0.000, 0.00788
1.000, 0.00791
0.000, 0.00791
1.000, 0.00796
0.000, 0.00798
1.000, 0.00799
0.000, 0.00801
1.000, 0.00803
0.000, 0.00804
1.000, 0.00809
0.000, 0.00811
1.000, 0.00813
0.000, 0.00814
1.000, 0.00816
0.000, 0.00817
1.000, 0.00822
0.000, 0.00824
1.000, 0.00825
0.000, 0.00827
1.000, 0.00829
0.000, 0.00830
1.000, 0.00834
0.000, 0.00836
1.000, 0.00837
0.000, 0.00838
1.000, 0.00841
0.000, 0.00842
1.000, 0.00847
0.000, 0.00851
1.000, 0.00853
0.000, 0.00854
1.000, 0.00859
0.000, 0.00862
1.000, 0.00866
0.000, 0.00870
1.000, 0.00875
0.000, 0.00877
1.000, 0.00878
0.000, 0.00880
1.000, 0.00890
0.000, 0.00890
1.000, 0.00895
0.000, 0.00896
1.000, 0.00898
0.000, 0.00899
1.000, 0.00904
0.000, 0.00907
1.000, 0.00907
0.000, 0.00908
1.000, 0.00913
0.000, 0.00916
1.000, 0.00916
0.000, 0.00916
1.000, 0.00916
0.000, 0.00918
1.000, 0.00923
0.000, 0.00926
1.000, 0.00927
0.000, 0.00929
1.000, 0.00930
0.000, 0.00932
1.000, 0.00937
0.000, 0.00939
1.000, 0.00941
0.000, 0.00942
1.000, 0.00946
0.000, 0.00947
1.000, 0.00952
0.000, 0.00954
1.000, 0.00955
0.000, 0.00957
1.000, 0.00958
0.000, 0.00960
1.000, 0.00965
0.000, 0.00968
1.000, 0.00968
0.000, 0.00969
1.000, 0.00973
0.000, 0.00975
1.000, 0.00976
0.000, 0.00978
1.000, 0.00980
0.000, 0.00981
1.000, 0.00985
0.000, 0.00988
1.000, 0.00989
0.000, 0.00989
1.000, 0.00994
0.000, 0.00997
1.000, 0.00997
0.000, 0.00997
1.000, 0.01002
0.000, 0.01006
1.000, 0.01011
0.000, 0.01014
1.000, 0.01014
0.000, 0.01014
1.000, 0.01015
0.000, 0.01017
1.000, 0.01021
0.000, 0.01024
1.000, 0.01025
0.000, 0.01026
1.000, 0.01028
0.000, 0.01029
1.000, 0.01034
0.000, 0.01036
1.000, 0.01037
0.000, 0.01038
1.000, 0.01043
0.000, 0.01046
1.000, 0.01047
0.000, 0.01048
1.000, 0.01053
0.000, 0.01058
1.000, 0.01063
0.000, 0.01066
1.000, 0.01067
0.000, 0.01069
1.000, 0.01070
0.000, 0.01072
1.000, 0.01076
0.000, 0.01079
1.000, 0.01080
0.000, 0.01080
1.000, 0.01081
0.000, 0.01081
1.000, 0.01086
0.000, 0.01090
1.000, 0.01095
0.000, 0.01097
1.000, 0.01098
0.000, 0.01099
1.000, 0.01104
0.000, 0.01107
1.000, 0.01108
0.000, 0.01109
1.000, 0.01112
0.000, 0.01113
1.000, 0.01118
0.000, 0.01121
1.000, 0.01122
0.000, 0.01122
1.000, 0.01132
0.000, 0.01137
1.000, 0.01142
0.000, 0.01146
1.000, 0.01147
0.000, 0.01147
1.000, 0.01151
0.000, 0.01154
1.000, 0.01155
0.000, 0.01156
1.000, 0.01162
0.000, 0.01165
1.000, 0.01166
0.000, 0.01167
1.000, 0.01170
0.000, 0.01171
1.000, 0.01176
0.000, 0.01179
1.000, 0.01179
0.000, 0.01179
1.000, 0.01180
0.000, 0.01189
1.000, 0.01194
0.000, 0.01196
1.000, 0.01197
0.000, 0.01199
1.000, 0.01201
0.000, 0.01202
1.000, 0.01206
0.000, 0.01209
1.000, 0.01210
0.000, 0.01210
1.000, 0.01210
0.000, 0.01211
1.000, 0.01216
0.000, 0.01219
1.000, 0.01219
0.000, 0.01219
1.000, 0.01219
0.000, 0.01221
1.000, 0.01225
0.000, 0.01229
1.000, 0.01229
0.000, 0.01229
1.000, 0.01234
0.000, 0.01237
1.000, 0.01237
0.000, 0.01238
1.000, 0.01243
0.000, 0.01248
1.000, 0.01253
0.000, 0.01255
1.000, 0.01256
0.000, 0.01257
1.000, 0.01259
0.000, 0.01260
1.000, 0.01265
0.000, 0.01268
1.000, 0.01268
0.000, 0.01270
1.000, 0.01272
0.000, 0.01272
1.000, 0.01277
0.000, 0.01280
1.000, 0.01280
0.000, 0.01281
1.000, 0.01283
0.000, 0.01284
1.000, 0.01289
0.000, 0.01292
1.000, 0.01292
0.000, 0.01294
1.000, 0.01296
0.000, 0.01297
1.000, 0.01301
0.000, 0.01304
1.000, 0.01306
0.000, 0.01307
1.000, 0.01310
0.000, 0.01311
1.000, 0.01317
0.000, 0.01321
1.000, 0.01322
0.000, 0.01323
1.000, 0.01325
0.000, 0.01326
1.000, 0.01332
0.000, 0.01334
1.000, 0.01337
0.000, 0.01338
1.000, 0.01341
0.000, 0.01342
1.000, 0.01346
0.000, 0.01346
1.000, 0.01351
0.000, 0.01356
1.000, 0.01361
0.000, 0.01364
1.000, 0.01364
0.000, 0.01366
1.000, 0.01371
0.000, 0.01373
1.000, 0.01375
0.000, 0.01376
1.000, 0.01378
0.000, 0.01379
1.000, 0.01385
0.000, 0.01387
1.000, 0.01388
0.000, 0.01389
1.000, 0.01392
0.000, 0.01393
1.000, 0.01397
0.000, 0.01400
1.000, 0.01401
0.000, 0.01402
1.000, 0.01404
0.000, 0.01405
1.000, 0.01410
0.000, 0.01413
1.000, 0.01414
0.000, 0.01415
1.000, 0.01418
0.000, 0.01418
1.000, 0.01424
0.000, 0.01426
1.000, 0.01427
0.000, 0.01429
1.000, 0.01431
0.000, 0.01431
1.000, 0.01437
0.000, 0.01439
1.000, 0.01441
0.000, 0.01442
1.000, 0.01446
0.000, 0.01447
1.000, 0.01448
0.000, 0.01451
1.000, 0.01451
0.000, 0.01452
1.000, 0.01457
0.000, 0.01459
1.000, 0.01460
0.000, 0.01461
1.000, 0.01467
0.000, 0.01469
1.000, 0.01471
0.000, 0.01472
1.000, 0.01474
0.000, 0.01476
1.000, 0.01480
0.000, 0.01483
1.000, 0.01484
0.000, 0.01485
1.000, 0.01487
0.000, 0.01488
1.000, 0.01493
0.000, 0.01495
1.000, 0.01496
0.000, 0.01497
1.000, 0.01499
0.000, 0.01500
1.000, 0.01505
0.000, 0.01507
1.000, 0.01508
0.000, 0.01509
1.000, 0.01512
0.000, 0.01512
1.000, 0.01515
0.000, 0.01516
1.000, 0.01521
0.000, 0.01523
1.000, 0.01525
0.000, 0.01526
1.000, 0.01529
0.000, 0.01530
1.000, 0.01535
0.000, 0.01537
1.000, 0.01539
0.000, 0.01540
1.000, 0.01542
0.000, 0.01543
1.000, 0.01548
0.000, 0.01551
1.000, 0.01551
0.000, 0.01551
1.000, 0.01556
0.000, 0.01559
1.000, 0.01560
0.000, 0.01561
1.000, 0.01565
0.000, 0.01568
1.000, 0.01569
0.000, 0.01570
1.000, 0.01572
0.000, 0.01573
1.000, 0.01578
0.000, 0.01580
1.000, 0.01581
0.000, 0.01582
1.000, 0.01584
0.000, 0.01585
1.000, 0.01590
0.000, 0.01592
1.000, 0.01593
0.000, 0.01594
1.000, 0.01597
0.000, 0.01598
1.000, 0.01600
0.000, 0.01602
1.000, 0.01606
0.000, 0.01608
1.000, 0.01610
0.000, 0.01611
1.000, 0.01616
0.000, 0.01620
1.000, 0.01624
0.000, 0.01628
1.000, 0.01628
0.000, 0.01629
1.000, 0.01634
0.000, 0.01639
1.000, 0.01647
0.000, 0.01648
1.000, 0.01650
0.000, 0.01652
1.000, 0.01654
0.000, 0.01655
1.000, 0.01660
0.000, 0.01664
1.000, 0.01669
0.000, 0.01671
1.000, 0.01672
0.000, 0.01673
1.000, 0.01675
0.000, 0.01676
1.000, 0.01680
0.000, 0.01683
1.000, 0.01683
0.000, 0.01684
1.000, 0.01686
0.000, 0.01690
1.000, 0.01695
0.000, 0.01697
1.000, 0.01699
0.000, 0.01700
1.000, 0.01702
0.000, 0.01704
1.000, 0.01709
0.000, 0.01712
1.000, 0.01712
0.000, 0.01714
1.000, 0.01718
0.000, 0.01723
1.000, 0.01723
0.000, 0.01723
1.000, 0.01728
0.000, 0.01730
1.000, 0.01732
0.000, 0.01733
1.000, 0.01738
0.000, 0.01742
1.000, 0.01747
0.000, 0.01752
1.000, 0.01757
0.000, 0.01759
1.000, 0.01760
0.000, 0.01762
1.000, 0.01766
0.000, 0.01770
1.000, 0.01775
0.000, 0.01777
1.000, 0.01779
0.000, 0.01780
1.000, 0.01782
0.000, 0.01783
1.000, 0.01792
0.000, 0.01794
1.000, 0.01795
0.000, 0.01800
1.000, 0.01805
0.000, 0.01808
1.000, 0.01813
0.000, 0.01816
1.000, 0.01816
0.000, 0.01821
1.000, 0.01827
0.000, 0.01829
1.000, 0.01830
0.000, 0.01834
1.000, 0.01840
0.000, 0.01843
1.000, 0.01843
0.000, 0.01846
1.000, 0.01847
0.000, 0.01852
1.000, 0.01856
0.000, 0.01859
1.000, 0.01863
0.000, 0.01866
1.000, 0.01870
0.000, 0.01873
1.000, 0.01877
0.000, 0.01900
1.000, 0.01905
0.000, 0.01910
1.000, 0.01914
0.000, 0.01925
1.000, 0.01930
0.000, 0.01935
1.000, 0.01939
0.000, 0.01956
1.000, 0.01961
0.000, 0.01964
1.000, 0.01969
0.000, 0.01977
1.000, 0.01982
0.000, 0.01982
1.000, 0.01982
0.000, 0.01982
1.000, 0.01989
0.000, 0.02004
1.000, 0.02008
0.000, 0.02012
1.000, 0.02017
0.000, 0.02024
1.000, 0.02029
0.000, 0.02035
1.000, 0.02039
0.000, 0.02049
1.000, 0.02054
0.000, 0.02064
1.000, 0.02068
0.000, 0.02068
1.000, 0.02075
0.000, 0.02080
1.000, 0.02083
0.000, 0.02092
1.000, 0.02097
0.000, 0.02106
1.000, 0.02109
0.000, 0.02125
1.000, 0.02130
0.000, 0.02150
1.000, 0.02154
0.000, 0.02174
1.000, 0.02180
0.000, 0.02184
1.000, 0.02189
0.000, 0.02201
1.000, 0.02205
0.000, 0.02211
1.000, 0.02215
0.000, 0.02218
1.000, 0.02224
0.000, 0.02226
1.000, 0.02227
0.000, 0.02227
1.000, 0.02227
0.000, 0.02227
1.000, 0.02232
0.000, 0.02234
1.000, 0.02240
0.000, 0.02248
1.000, 0.02254
0.000, 0.02266
1.000, 0.02271
0.000, 0.02275
1.000, 0.02280
0.000, 0.02282
1.000, 0.02287
0.000, 0.02293
1.000, 0.02298
0.000, 0.02306
1.000, 0.02311
0.000, 0.02316
1.000, 0.02321
0.000, 0.02324
1.000, 0.02324
0.000, 0.02324
1.000, 0.02329
0.000, 0.02331
1.000, 0.02336
0.000, 0.02337
1.000, 0.02342
0.000, 0.02348
1.000, 0.02353
0.000, 0.02355
1.000, 0.02357
0.000, 0.02358
1.000, 0.02359
0.000, 0.02361
1.000, 0.02363
0.000, 0.02364
1.000, 0.02366
0.000, 0.02368
1.000, 0.02369
0.000, 0.02370
1.000, 0.02375
0.000, 0.02379
1.000, 0.02380
0.000, 0.02381
1.000, 0.02387
0.000, 0.02388
1.000, 0.02390
0.000, 0.02391
1.000, 0.02394
0.000, 0.02395
1.000, 0.02397
0.000, 0.02399
1.000, 0.02404
0.000, 0.02406
1.000, 0.02410
0.000, 0.02411
1.000, 0.02413
0.000, 0.02415
1.000, 0.02417
0.000, 0.02419
1.000, 0.02426
0.000, 0.02426
1.000, 0.02429
0.000, 0.02430
1.000, 0.02432
0.000, 0.02434
1.000, 0.02436
0.000, 0.02438
1.000, 0.02439
0.000, 0.02441
1.000, 0.02442
0.000, 0.02446
1.000, 0.02452
0.000, 0.02454
1.000, 0.02455
0.000, 0.02457
1.000, 0.02459
0.000, 0.02460
1.000, 0.02462
0.000, 0.02463
1.000, 0.02468
0.000, 0.02474
1.000, 0.02479
0.000, 0.02481
1.000, 0.02483
0.000, 0.02484
1.000, 0.02486
0.000, 0.02488
1.000, 0.02490
0.000, 0.02491
1.000, 0.02493
0.000, 0.02494
1.000, 0.02499
0.000, 0.02501
1.000, 0.02502
0.000, 0.02504
1.000, 0.02506
0.000, 0.02507
1.000, 0.02512
0.000, 0.02514
1.000, 0.02516
0.000, 0.02517
1.000, 0.02520
0.000, 0.02520
1.000, 0.02523
0.000, 0.02525
1.000, 0.02527
0.000, 0.02528
1.000, 0.02536
0.000, 0.02542
1.000, 0.02547
0.000, 0.02550
1.000, 0.02550
0.000, 0.02550
1.000, 0.02551
0.000, 0.02551
1.000, 0.02555
0.000, 0.02559
1.000, 0.02560
0.000, 0.02562
1.000, 0.02564
0.000, 0.02569
1.000, 0.02574
0.000, 0.02576
1.000, 0.02577
0.000, 0.02578
1.000, 0.02588
0.000, 0.02590
1.000, 0.02591
0.000, 0.02592
1.000, 0.02602
0.000, 0.02605
1.000, 0.02606
0.000, 0.02610
1.000, 0.02613
0.000, 0.02617
1.000, 0.02617
0.000, 0.02620
1.000, 0.02625
0.000, 0.02630
1.000, 0.02635
0.000, 0.02637
1.000, 0.02642
0.000, 0.02647
1.000, 0.02652
0.000, 0.02653
1.000, 0.02668
0.000, 0.02673
1.000, 0.02682
0.000, 0.02688
1.000, 0.02711
0.000, 0.02714
1.000, 0.02746
0.000, 0.02752
1.000, 0.02758
0.000, 0.02759
1.000, 0.02762
0.000, 0.02763
1.000, 0.02766
0.000, 0.02767
1.000, 0.02771
0.000, 0.02776
1.000, 0.02791
0.000, 0.02796
1.000, 0.02802
0.000, 0.02806
1.000, 0.02812
0.000, 0.02812
1.000, 0.02815
0.000, 0.02816
