N, NP, NC, Tempo\n
1000, 4, 1, 11.868864
1000, 4, 1, 11.021518
1000, 4, 1, 11.817456
1000, 4, 1, 11.352419
1000, 4, 1, 11.554060
1000, 4, 1, 11.662875
1000, 4, 1, 11.493501
1000, 4, 1, 11.294403
1000, 4, 1, 11.402523
1000, 4, 1, 11.235299
