N, NP, NC, Tempo\n
100, 1, 4, 12.189377
100, 1, 4, 12.422680
100, 1, 4, 12.093700
100, 1, 4, 12.517258
100, 1, 4, 12.140059
100, 1, 4, 12.215779
100, 1, 4, 12.066323
100, 1, 4, 12.173023
100, 1, 4, 12.739652
100, 1, 4, 12.788127
