N, NP, NC, Tempo\n
100, 1, 8, 12.605939
100, 1, 8, 12.674551
100, 1, 8, 12.462966
100, 1, 8, 12.824900
100, 1, 8, 12.847989
100, 1, 8, 12.179446
100, 1, 8, 12.104252
100, 1, 8, 12.403635
100, 1, 8, 12.448816
100, 1, 8, 12.205732
