N, NP, NC, Tempo\n
10, 4, 1, 11.349509
10, 4, 1, 11.352630
10, 4, 1, 11.255954
10, 4, 1, 11.443356
10, 4, 1, 11.863765
10, 4, 1, 11.823475
10, 4, 1, 12.061872
10, 4, 1, 11.846431
10, 4, 1, 11.770333
10, 4, 1, 11.730299
