N, NP, NC, Tempo\n
1000, 1, 4, 11.630865
1000, 1, 4, 11.798594
1000, 1, 4, 11.335622
1000, 1, 4, 11.552512
1000, 1, 4, 11.522171
1000, 1, 4, 11.764337
1000, 1, 4, 11.472384
1000, 1, 4, 11.671679
1000, 1, 4, 11.679574
1000, 1, 4, 11.292899
