N, NP, NC, Tempo\n
10, 1, 4, 12.318098
10, 1, 4, 12.061093
10, 1, 4, 11.638208
10, 1, 4, 11.875757
10, 1, 4, 11.997493
10, 1, 4, 12.084999
10, 1, 4, 11.656629
10, 1, 4, 11.537261
10, 1, 4, 11.506671
10, 1, 4, 11.785747
